Threshold:250

nOctaveLayers:5

edgeThreshold:15

contrastThreshold:0.05

0.2831260999999996,0.2659647000000005,0.2586859000000006,0.26700629999999936,0.27468190000000003,0.2593532000000005,0.2926888999999999,0.2965504999999995,0.2645141999999998,0.26875600000000066,0.2732937,0.2767723999999996,0.26910599999999985,0.2593641,0.26627510000000054,0.289635800000001,0.2735454999999991,0.27932120000000005,0.2621562999999991,0.2580891999999988

Threshold:225

nOctaveLayers:5

edgeThreshold:15

contrastThreshold:0.05

0.3326291000000001,0.2986507000000005,0.2780731999999997,0.31210570000000004,0.2898599000000006,0.2806660999999995,0.3070335000000002,0.2854367,0.34470130000000054,0.32898719999999937,0.30930560000000007,0.2793467999999999,0.30309089999999994,0.2926904999999991,0.28487759999999973,0.29301079999999935,0.3057261000000011,0.2848664999999997,0.2997947000000014,0.2907966999999996

Threshold:200

nOctaveLayers:5

edgeThreshold:15

contrastThreshold:0.05

0.3379169000000002,0.3004281,0.28802799999999973,0.2865203999999997,0.29145100000000035,0.2989681000000006,0.29092360000000017,0.3089550000000001,0.29036229999999996,0.2996226000000002,0.28385570000000016,0.3764411000000001,0.26942919999999937,0.2975052000000007,0.29329610000000006,0.29814839999999965,0.29907359999999983,0.30646669999999965,0.3025366999999992,0.2876688000000005

Threshold:175

nOctaveLayers:5

edgeThreshold:15

contrastThreshold:0.05

0.28558799999999973,0.2838073000000003,0.30497459999999954,0.27347520000000003,0.31140040000000013,0.2911476999999998,0.29956349999999965,0.28457500000000024,0.2937310999999996,0.29451990000000006,0.2660942000000004,0.2956959000000001,0.2934377999999995,0.29434269999999874,0.28955799999999954,0.30051070000000024,0.2906027000000009,0.2984089000000001,0.3038136999999992,0.3024799999999992

Threshold:150

nOctaveLayers:5

edgeThreshold:15

contrastThreshold:0.05

0.3294769999999998,0.28825000000000056,0.30877599999999994,0.2668242000000003,0.26360840000000074,0.28397689999999987,0.2769794999999995,0.2823886,0.26710220000000007,0.2930014999999999,0.3056447000000002,0.25505020000000034,0.2817253000000006,0.2831748999999997,0.28817199999999943,0.28733450000000005,0.2955760999999999,0.28508459999999936,0.28501690000000046,0.26676460000000013

Threshold:125

nOctaveLayers:5

edgeThreshold:15

contrastThreshold:0.05

0.31352409999999953,0.2946161999999992,0.29316989999999965,0.2914173999999994,0.28489140000000024,0.28542749999999995,0.30007170000000016,0.28489959999999925,0.2751051999999996,0.2923575000000005,0.2876979999999998,0.27239090000000044,0.2829138000000002,0.29851089999999925,0.294829,0.2945928999999996,0.3073068999999986,0.295790199999999,0.2877218999999993,0.2929303000000001

